customer_id,join_date,last_purchase_date,age,gender,location,responded_to_Buy_One_Get_One,responded_to_Discount,responded_to_Free_Shipping,Buy_One_Get_One_response_date,Discount_response_date,Free_Shipping_response_date,number_of_site_visits,number_of_emails_opened,number_of_clicks,customer_life_months,total_spend,monthly_spend,CLV,Recency,Frequency
1,2023-11-20,2024-03-17,56.0,Female,North Shannonbury,1,0,0,2024-01-10,,,10,15,1.0,3.933333333333333,3509.4799999999996,892.2406779661017,7631.0,110,1.5254237288135595
2,2021-09-08,2023-10-25,43.0,Male,Hillville,0,0,2,,,2022-07-08,285,49,51.0,25.9,5921.39,228.62509652509655,3083.800433444427,254,0.3474903474903475
4,2022-01-01,2022-09-01,29.0,Male,Grossstad,0,0,1,,,2022-07-22,110,30,17.0,8.1,7802.45,963.2654320987655,12992.967098439814,673,2.469135802469136
5,2022-01-24,2023-06-02,43.0,Male,East Matthewfort,0,0,0,,,,161,2,7.0,16.466666666666665,15253.68,926.3368421052633,12494.85729527587,399,1.4574898785425103
6,2022-01-01,2023-02-10,55.0,Female,North Richardfort,1,0,0,2022-12-27,,,74,59,7.0,13.5,10254.44,759.5881481481482,10245.674233062065,511,1.2592592592592593
7,2023-12-11,2024-05-29,43.0,Female,Perezside,0,0,1,,,2024-03-23,64,4,6.0,5.666666666666667,1339.82,236.43882352941174,3189.1955763616374,37,0.8823529411764706
8,2023-02-09,2023-08-09,68.0,Male,Marquezton,1,0,1,2023-06-12,,2023-08-07,60,22,7.0,6.033333333333333,11434.77,1895.2657458563538,25564.215903666664,331,2.4861878453038675
9,2022-01-24,2023-08-15,68.0,Female,West Franciscobury,0,0,1,,,2022-07-03,49,43,21.0,18.933333333333334,10305.99,544.3304577464788,7342.179520310586,325,1.1619718309859155
11,2022-10-24,2023-01-09,60.0,Male,West Danielmouth,0,1,0,,2022-11-27,,33,3,1.0,2.566666666666667,7137.27,2780.754545454545,7631.0,543,4.675324675324675
12,2021-05-08,2024-04-01,23.0,Male,Shannonland,1,0,0,2023-08-26,,,363,139,13.0,35.3,9182.32,260.12237960339945,3508.6502713909363,95,0.33994334277620397
