customer_id,join_date,last_purchase_date,age,gender,location,responded_to_Buy_One_Get_One,responded_to_Discount,responded_to_Free_Shipping,Buy_One_Get_One_response_date,Discount_response_date,Free_Shipping_response_date,number_of_site_visits,number_of_emails_opened,number_of_clicks
1,2023-11-20,2024-03-17,56.0,Female,North Shannonbury,1,0,0,2024-01-10,,,10,15,1.0
2,2021-09-08,2023-10-25,43.0,Male,Hillville,0,0,2,,,2022-07-08,285,49,51.0
4,2022-01-01,2022-09-01,29.0,Male,Grossstad,0,0,1,,,2022-07-22,110,30,17.0
5,2022-01-24,2023-06-02,43.0,Male,East Matthewfort,0,0,0,,,,161,2,7.0
6,2022-01-01,2023-02-10,55.0,Female,North Richardfort,1,0,0,2022-12-27,,,74,59,7.0
7,2023-12-11,2024-05-29,43.0,Female,Perezside,0,0,1,,,2024-03-23,64,4,6.0
8,2023-02-09,2023-08-09,68.0,Male,Marquezton,1,0,1,2023-06-12,,2023-08-07,60,22,7.0
9,2022-01-24,2023-08-15,68.0,Female,West Franciscobury,0,0,1,,,2022-07-03,49,43,21.0
11,2022-10-24,2023-01-09,60.0,Male,West Danielmouth,0,1,0,,2022-11-27,,33,3,1.0
12,2021-05-08,2024-04-01,23.0,Male,Shannonland,1,0,0,2023-08-26,,,363,139,13.0
13,2020-04-12,2022-05-24,34.0,Female,Brendahaven,0,0,1,,,2021-07-28,363,32,38.0
14,2021-08-15,2021-12-06,23.0,Female,East Diana,1,1,0,2021-10-26,2021-09-09,,21,7,7.0
15,2022-03-27,2023-12-31,58.0,Female,Riceland,0,1,0,,2022-12-01,,305,78,57.0
16,2023-05-06,2023-08-15,43.0,Male,South Laura,1,0,1,2023-05-12,,2023-06-11,43,13,1.0
17,2023-12-01,2024-02-05,40.0,Female,Gabrielleburgh,0,1,1,,2023-12-30,2024-01-27,2,4,5.0
18,2020-04-17,2021-06-14,25.0,Female,East Brianborough,1,0,2,2020-09-26,,2020-12-18,44,64,28.0
19,2021-03-11,2023-06-05,43.0,Female,New Nicholasville,0,0,1,,,2021-10-12,166,134,3.0
20,2020-12-26,2021-02-03,22.0,Female,West Scottview,0,2,0,,2021-01-19,,2,6,1.0
21,2023-04-07,2024-05-17,20.0,Male,New Michael,1,1,1,2023-12-07,2024-01-21,2023-07-22,187,39,30.0
22,2021-01-29,2023-03-04,26.0,Male,West Matthew,1,0,1,2021-05-13,,2022-10-14,363,72,31.0
23,2022-08-13,2023-11-15,61.0,Female,Craigview,1,0,0,2022-11-01,,,161,52,23.0
24,2020-08-04,2023-03-10,48.0,Female,Lebury,1,0,2,2020-11-06,,2022-09-08,363,139,69.04999999999927
25,2023-05-21,2023-07-21,20.0,Male,Jenningsstad,1,1,1,2023-07-17,2023-05-24,2023-07-05,3,10,5.0
26,2023-05-26,2023-11-18,65.0,Female,Wrighthaven,0,0,0,,,,85,18,6.0
27,2021-09-04,2023-04-11,33.0,Female,Moorehaven,1,0,1,2021-10-08,,2021-11-01,189,97,51.0
28,2022-04-11,2023-05-03,64.0,Male,Maryland,0,0,0,,,,133,55,21.0
29,2020-02-19,2021-09-14,20.0,Male,North Cameron,0,0,0,,,,51,23,23.0
30,2020-08-04,2023-05-21,47.0,Male,Port Tracyton,0,0,0,,,,279,139,18.0
31,2022-02-08,2022-05-25,59.0,Male,South Dawnview,0,0,0,,,,33,4,1.0
32,2021-12-22,2023-01-21,54.0,Female,Hillview,0,0,1,,,2022-12-24,188,52,2.0
33,2022-03-05,2024-01-08,56.0,Male,Jennifershire,0,2,0,,2022-10-11,,140,17,49.0
34,2021-08-08,2023-04-29,44.0,Female,Port Christopher,1,0,0,2023-03-09,,,132,21,4.0
35,2022-07-26,2023-03-31,37.0,Female,Seanland,0,1,0,,2023-03-05,,20,9,7.0
37,2023-06-17,2024-04-22,54.0,Female,North Karen,0,0,0,,,,34,54,25.0
38,2023-02-27,2024-03-30,43.0,Female,Tammybury,0,0,1,,,2023-08-06,101,37,37.0
39,2022-12-11,2023-01-26,43.0,Female,East Mathewshire,0,0,1,,,2023-01-18,6,4,1.0
40,2024-02-19,2024-05-25,27.0,Female,Martinborough,1,0,0,2024-03-19,,,37,2,3.0
41,2021-06-21,2024-05-28,21.0,Male,New Dylan,0,0,0,,,,363,86,5.0
42,2022-06-29,2024-04-21,58.0,Male,West Reginaburgh,0,1,0,,2023-02-13,,273,80,36.0
43,2023-04-08,2023-07-05,58.0,Male,Lake Nancy,0,0,0,,,,34,2,5.0
44,2020-02-18,2022-12-15,19.0,Female,South Michaelshire,0,0,0,,,,363,99,4.0
45,2020-02-11,2023-12-03,23.0,Male,Lake Patriciaberg,0,0,0,,,,244,94,69.04999999999927
46,2021-10-07,2023-09-07,66.0,Female,Port Christopherview,0,1,0,,2023-05-09,,295,76,54.0
47,2020-06-17,2023-05-29,31.0,Female,East Nicole,0,2,0,,2020-11-10,,95,139,9.0
48,2022-11-04,2024-05-15,21.0,Male,Davidville,0,0,0,,,,206,100,3.0
49,2023-03-23,2024-05-06,50.0,Male,Lambview,0,1,0,,2023-08-15,,42,35,18.0
50,2021-03-12,2021-12-21,25.0,Male,Petersonberg,1,2,0,2021-03-24,2021-07-22,,86,10,21.0
51,2021-05-23,2023-03-03,60.0,Female,West Jonathanstad,1,0,1,2022-09-21,,2021-12-30,66,33,63.0
52,2023-12-29,2024-03-06,43.0,Female,Port Andreatown,0,1,1,,2024-01-16,2024-01-27,10,6,4.0
53,2023-10-14,2024-03-18,25.0,Male,Rothberg,0,0,0,,,,6,10,13.0
54,2020-03-02,2020-08-29,55.0,Male,North Jose,0,0,0,,,,15,24,14.0
55,2020-01-30,2024-05-28,49.0,Female,Jefferyburgh,3,0,0,2024-05-24,,,307,70,58.0
56,2020-10-28,2022-09-10,46.0,Female,Brianaborough,2,0,0,2021-11-07,,,326,111,40.0
57,2023-08-08,2024-04-13,65.0,Male,East Seantown,1,0,0,2023-10-14,,,41,40,7.0
58,2023-09-29,2023-12-01,45.0,Male,Griffithbury,1,1,0,2023-11-23,2023-10-17,,18,7,4.0
59,2024-04-20,2024-05-11,62.0,Male,Brianville,0,0,1,,,2024-04-24,8,2,1.0
60,2020-09-06,2023-09-03,37.0,Male,Valerieport,0,0,1,,,2021-02-03,316,102,69.04999999999927
61,2023-12-18,2024-01-25,38.0,Male,New Mollyville,1,1,1,2024-01-08,2024-01-21,2024-01-02,3,1,2.0
62,2023-09-12,2024-01-31,22.0,Female,Connershire,1,0,1,2023-12-16,,2023-10-18,25,17,6.0
63,2024-02-11,2024-04-27,48.0,Male,East Edward,0,0,0,,,,8,6,1.0
64,2022-04-05,2023-02-21,18.0,Male,Carlamouth,1,1,0,2022-04-24,2022-07-24,,128,31,30.0
65,2022-06-30,2022-11-24,37.0,Female,Lake Mercedes,1,0,0,2022-09-14,,,11,10,2.0
67,2020-08-03,2020-08-17,43.0,Female,Jenniferfurt,0,0,0,,,,2,1,1.0
68,2020-11-09,2023-06-29,41.0,Female,Haleview,0,2,0,,2022-02-01,,363,75,7.0
69,2021-04-12,2024-05-11,47.0,Female,Lake Megan,0,1,0,,2022-04-03,,363,139,29.0
70,2020-08-23,2023-12-13,68.0,Male,Rileyville,0,0,0,,,,316,139,69.04999999999927
71,2022-07-19,2023-11-10,43.0,Female,North Thomas,2,0,1,2023-09-12,,2022-12-16,238,35,14.0
72,2021-11-26,2022-12-16,43.0,Female,Port Robert,0,0,0,,,,124,68,14.0
73,2020-07-10,2023-10-15,60.0,Male,East Steventown,1,0,0,2020-08-22,,,363,109,69.0
74,2022-11-28,2022-12-25,21.0,Female,Mistyberg,0,0,0,,,,3,2,1.0
75,2021-09-07,2022-04-14,31.0,Male,West Anthonyberg,0,0,0,,,,92,8,9.0
